ssn,name,union_no,addr,phone,salary,job_title,exam_date,expertise,certifications
601-74-4416,Gloria Vaughn,UAW0511,734 Riddering St,523-253-5396,147000,Technician,,Airbus-A320 Airbus-A350 Boeing-747,
055-94-7313,Lauren Lutz,UAW0512,284 Philbric Rd,957-922-1370,96000,Pilot,,,Boeing-777:2018-01-18 Airbus-A330:2020-10-17 Boeing-767:2020-09-09 Airbus-A320:2018-12-25 Airbus-A300:2019-03-04 Boeing-737:2017-09-15 Boeing-787:2020-02-20
984-17-7619,Sean Monroe,UAW0513,173 Elise Pl,570-740-4537,141000,Pilot,,,Airbus-A380:2018-08-12 Airbus-A300:2019-05-13 Airbus-A330:2018-12-26 Boeing-767:2018-03-08 Boeing-777:2017-05-26
808-97-4288,Shirley Blevins,UAW0514,534 Perez Rd,054-884-3202,144000,Traffic Controller,2010-12-03,,
867-63-1103,Henry Love,UAW0515,465 Roble Dr,214-285-7756,91000,Technician,,Boeing-737 Airbus-A380,
899-69-3360,Emma Wilson,UAW0516,603 S Broadway St,238-276-2772,117000,Pilot,,,Airbus-A350:2018-12-17 Airbus-A320:2019-09-11
401-96-8921,Russell Guerrero,UAW0517,711 Nipomo Dr,439-533-6863,125000,Traffic Controller,2008-09-11,,
808-20-8598,Larry Newman,UAW0518,704 Ballinger Canyon Rd,177-571-1581,79000,Traffic Controller,2011-05-06,,
927-00-2311,Denise Mcgee,UAW0519,700 Almond Ln,660-323-5127,100000,Technician,,Boeing-747,
208-71-2004,Joshua Conway,UAW0520,405 Venus Ave,298-598-0588,109000,Pilot,,,Boeing-767:2020-08-06 Airbus-A330:2019-12-09 Boeing-777:2020-11-19 Boeing-737:2020-01-20 Boeing-787:2020-02-12 Airbus-A320:2020-12-10 Airbus-A380:2017-12-28
938-12-3285,Sean Khan,UAW0521,512 Las Flores Way,115-721-0856,134000,Pilot,,,Boeing-777:2018-02-20 Airbus-A350:2020-06-20 Airbus-A380:2017-10-16
140-93-6632,William Lynn,UAW0522,468 Cuatro Caminos,926-993-7219,109000,Pilot,,,Airbus-A300:2018-12-02 Airbus-A380:2019-04-06 Airbus-A320:2017-09-17 Airbus-A330:2017-01-11 Boeing-767:2019-08-17
366-78-2990,David Kelly,UAW0523,521 Ranch View Ln,126-336-7303,134000,Technician,,Airbus-A300 Boeing-777,
724-74-7342,Bruce Hunter,UAW0524,524 Monarch Dr,317-212-6080,86000,Traffic Controller,2011-04-21,,
090-80-1110,Olivia Gutierrez,UAW0525,332 Juana Maria St,384-217-6412,121000,Traffic Controller,2008-04-07,,
346-33-1922,Alexander Leonard,UAW0526,433 Borges Dr,366-509-8243,108000,Technician,,Boeing-737 Airbus-A320,
818-89-7918,Thomas Lynn,UAW0527,540 Mandeville Ct,686-579-6400,88000,Technician,,Boeing-767 Airbus-A330,
159-16-4559,Diana Ray,UAW0528,923 Tranquillion Mountain Rd,686-585-7421,93000,Technician,,Airbus-A300 Airbus-A320,
269-48-0442,Lori Jensen,UAW0529,459 Wullbrandt Way,470-089-7100,58000,Traffic Controller,2003-10-14,,
157-84-8829,Aaron Potts,UAW0530,249 Crestwood Ct,900-394-7586,109000,Traffic Controller,2013-05-21,,
929-30-7802,Hannah Maxwell,UAW0531,135 Juniper Walk - University Of California Santa Barbara,290-749-5267,140000,Technician,,Airbus-A330 Airbus-A300 Boeing-777 Airbus-A380 Boeing-737,
135-68-4825,Mildred Walsh,UAW0532,192 Samantha Pl,315-909-3552,136000,Technician,,Airbus-A350 Airbus-A300,
286-96-0172,Julie Flores,UAW0533,411 Verano St,563-298-9147,82000,Technician,,Boeing-787 Boeing-777 Airbus-A350,
858-82-6475,Bruce Mata,UAW0534,400 El Camino Ratel,903-944-8064,136000,Technician,,Boeing-737 Airbus-A350 Boeing-767 Airbus-A380,
608-64-9800,Gregory Carrillo,UAW0535,864 Cima Del Mundo Rd,340-227-1200,90000,Traffic Controller,2012-07-06,,
432-62-8424,Julia Guerrero,UAW0536,149 Dorwin Ln,217-168-9274,136000,Pilot,,,Boeing-737:2019-11-07
973-35-2247,Jeremy Steele,UAW0537,645 Pino Solo Dr,246-765-5266,113000,Technician,,Airbus-A330,
558-14-9443,Anthony Barron,UAW0538,790 La Vista Rd,209-835-3375,146000,Pilot,,,Airbus-A350:2017-01-12 Boeing-747:2020-03-21 Airbus-A320:2019-06-24 Boeing-777:2018-07-11 Boeing-737:2020-04-07 Boeing-787:2018-12-04
244-06-3853,Peter Bowman,UAW0539,802 Romaine Dr,760-748-0544,141000,Pilot,,,Boeing-747:2019-02-09 Boeing-767:2018-06-02 Boeing-737:2017-03-07 Boeing-777:2019-04-17 Airbus-A350:2019-09-06 Airbus-A300:2018-07-16 Airbus-A330:2019-06-23
928-16-8729,Richard Ortiz,UAW0540,674 Orizaba Ln,534-394-9362,87000,Pilot,,,Boeing-737:2017-02-07 Boeing-777:2018-01-26 Boeing-747:2018-12-24 Airbus-A320:2020-11-12
271-81-6324,Nancy Dean,UAW0541,646 Matorral Cir,378-692-0517,106000,Traffic Controller,2003-08-22,,
139-87-9484,Randy Cooke,UAW0542,775 Bodger Rd,296-785-2762,88000,Pilot,,,Airbus-A320:2018-05-16 Airbus-A300:2019-12-11 Boeing-767:2017-10-12 Boeing-747:2019-02-19 Airbus-A350:2018-12-20
320-03-4169,Benjamin Byrd,UAW0543,685 W Bunny Ave,711-180-8277,149000,Traffic Controller,2006-02-19,,
243-88-1905,Dorothy Ward,UAW0544,378 Monterey Rd,749-943-3717,136000,Traffic Controller,2009-11-06,,
563-25-4913,Judith Brady,UAW0545,530 Diana Ln,414-978-1506,70000,Traffic Controller,2002-06-15,,
685-51-3320,George Howard,UAW0546,559 Windharp Dr,026-478-3493,57000,Technician,,Boeing-787 Airbus-A300 Airbus-A350 Airbus-A380 Airbus-A320,
695-10-1427,Charles Wright,UAW0547,216 Toro Canyon Park Rd - Los Padres National Forest,891-013-1541,104000,Technician,,Boeing-767 Airbus-A330 Boeing-787 Boeing-737 Airbus-A350,
574-64-7397,Patricia Mcfarland,UAW0548,658 Oak Glen Dr,131-315-6578,116000,Traffic Controller,2002-01-02,,
234-14-7990,Sarah Hardin,UAW0549,754 St No 9,654-080-3427,130000,Traffic Controller,2000-07-18,,
573-98-7231,Dylan Mitchell,UAW0550,473 Foothill Ln,992-067-2175,135000,Technician,,Boeing-737 Boeing-787 Boeing-767,
021-72-6438,Philip Davidson,UAW0551,576 N Oakley Ave,076-700-0129,93000,Traffic Controller,2009-09-16,,
325-83-7578,Mildred Byrd,UAW0552,249 Freya Dr,930-602-8102,77000,Pilot,,,Airbus-A350:2017-06-13
958-08-4470,Deborah Harmon,UAW0553,377 Matorral Cir,784-453-4700,119000,Traffic Controller,2002-02-18,,
113-97-9466,Wayne Wiggins,UAW0554,620 Vista Arroyo,363-910-3085,115000,Technician,,Airbus-A320 Boeing-747 Airbus-A300,
573-02-2153,Patricia Quinn,UAW0555,271 Greenbrier Rd,341-876-7678,130000,Technician,,Boeing-787 Airbus-A300 Boeing-737 Airbus-A330 Airbus-A320,
459-28-1225,Beverly Pratt,UAW0556,164 Sheep Camp Rd,247-034-9256,107000,Pilot,,,Airbus-A300:2019-11-13 Boeing-737:2020-01-22 Airbus-A320:2019-09-13 Airbus-A380:2019-09-17 Boeing-767:2018-11-16
930-43-0776,Denise Frost,UAW0557,771 Old Tisbury Ln,630-272-3066,130000,Traffic Controller,2001-10-18,,
631-41-7984,Sara Quinn,UAW0558,761 San Julian Ave,490-297-4440,112000,Traffic Controller,2012-11-28,,
505-20-7686,Ashley York,UAW0559,367 El Capitan Ranch Rd,745-175-1432,136000,Traffic Controller,2010-12-17,,
189-09-2656,Julia Leblanc,UAW0560,997 Paseo Del Pinon,558-513-2392,106000,Traffic Controller,2015-12-21,,
285-87-1453,Elizabeth Strickland,UAW0561,857 N K St,649-830-0049,71000,Traffic Controller,2006-07-08,,
073-37-6316,William Nunez,UAW0562,275 Sunrise Way,768-948-9548,115000,Pilot,,,Boeing-787:2017-11-12 Airbus-A380:2020-01-20 Boeing-747:2019-11-12 Airbus-A330:2018-10-02
894-67-8488,Ethan Lang,UAW0563,557 Oak View Dr,114-993-8416,104000,Technician,,Boeing-777,
797-76-7221,Kevin Warren,UAW0564,494 Cambria Ave,241-447-3445,56000,Technician,,Airbus-A350 Airbus-A330 Boeing-787 Airbus-A380,
984-30-9685,Jerry Pierce,UAW0565,741 Dixie Lee Dr,543-483-0312,67000,Traffic Controller,2010-08-04,,
864-89-9533,Nicole Wells,UAW0566,797 Clover Ln,443-551-5642,77000,Pilot,,,Boeing-787:2019-02-07 Airbus-A380:2018-04-24 Airbus-A330:2017-11-20 Boeing-737:2020-02-03 Airbus-A300:2018-02-10 Airbus-A320:2019-12-01 Boeing-767:2019-01-27
012-03-1138,Teresa Pittman,UAW0567,424 State Route 144,460-441-1820,139000,Technician,,Airbus-A380 Airbus-A350 Boeing-737,
025-03-4257,George Nguyen,UAW0568,268 Townsend Ln,253-036-4615,145000,Pilot,,,Airbus-A350:2017-12-03 Airbus-A380:2017-07-10 Boeing-747:2017-03-24 Boeing-787:2018-10-11 Airbus-A330:2019-08-18 Boeing-767:2019-03-15 Boeing-777:2020-11-04
561-02-3290,Raymond Meyer,UAW0569,842 Lomita Ln,602-711-3596,58000,Technician,,Airbus-A350 Airbus-A380,
385-02-2509,Kelly Bailey,UAW0570,967 El Faro,449-745-8292,60000,Traffic Controller,2007-11-19,,
686-59-9346,Mildred Morris,UAW0571,889 Santa Angela Ln,927-445-6364,137000,Technician,,Boeing-787 Airbus-A380 Boeing-747 Airbus-A330,
242-60-4804,Karen Clark,UAW0572,221 Linfield Pl,542-095-4273,136000,Traffic Controller,2001-09-21,,
711-44-2522,Juan Dean,UAW0573,102 W Valerio St,265-668-6998,48000,Traffic Controller,2015-05-10,,
832-62-2980,Vincent Warner,UAW0574,810 Cedar St,193-406-0937,122000,Technician,,Airbus-A300 Boeing-787,
633-86-6200,Michael Mccormick,UAW0575,869 Mountain Ave,138-878-4706,146000,Traffic Controller,2010-07-21,,
705-16-5616,Ethan Lynch,UAW0576,235 Eucalyptus Hill Dr,338-454-4377,68000,Pilot,,,Airbus-A320:2019-07-27 Boeing-777:2017-02-05 Airbus-A350:2019-01-03 Airbus-A300:2017-07-10 Boeing-767:2020-02-18 Boeing-737:2017-10-17 Boeing-787:2020-10-01
315-49-6715,Stephen Briggs,UAW0577,922 Terrace Dr,913-987-8773,124000,Traffic Controller,2004-09-16,,
219-82-8417,Linda Archer,UAW0578,609 Donald Way,328-458-0639,46000,Pilot,,,Airbus-A380:2019-03-16
564-80-6789,Janice Lloyd,UAW0579,456 Westminster Ln,461-977-2809,136000,Pilot,,,Boeing-767:2020-12-12 Boeing-737:2017-10-02 Airbus-A320:2019-12-24 Boeing-747:2018-06-12
880-69-8878,Barbara Esparza,UAW0580,538 Ellwood Beach Dr,307-734-7505,76000,Technician,,Boeing-747,
290-96-2237,Billy Bennett,UAW0581,603 Via Esparto,557-696-4499,122000,Traffic Controller,2003-11-03,,
361-21-8510,Ann Underwood,UAW0582,703 Glenn Rd - Los Padres National Forest,976-631-8068,80000,Technician,,Airbus-A320 Boeing-787,
068-47-0863,Jose Long,UAW0583,523 La Riata Ln,815-896-8524,105000,Traffic Controller,2010-12-26,,
825-58-2787,Mildred Phillips,UAW0584,836 Clemens Way,888-517-7537,80000,Technician,,Boeing-767,
117-84-3577,Jason Boyd,UAW0585,519 Eastgate Dr,087-589-0111,101000,Technician,,Boeing-777,
598-78-7089,Diane Rodriguez,UAW0586,863 Painted Cave Rd - Los Padres National Forest,561-371-7333,103000,Pilot,,,Boeing-787:2020-01-14 Boeing-737:2019-02-27 Airbus-A300:2017-08-03 Airbus-A350:2020-12-13
787-57-1910,Ethan Owen,UAW0587,653 Skylark Rd,009-235-2012,64000,Traffic Controller,2011-05-03,,
332-77-0733,Edward Calhoun,UAW0588,179 E Locust Ave,355-402-6216,139000,Traffic Controller,2011-01-04,,
132-59-3227,Karen Price,UAW0589,483 S Sage St,041-128-1041,80000,Traffic Controller,2001-02-06,,
765-73-9956,Willie Bell,UAW0590,115 Orena Ave,165-035-0768,81000,Pilot,,,Boeing-737:2018-03-02 Boeing-777:2020-08-07 Boeing-747:2018-07-26 Boeing-767:2019-12-10 Airbus-A320:2019-12-17 Airbus-A300:2020-05-03 Boeing-787:2017-10-05 Airbus-A330:2020-07-26
348-30-4168,Janet Cooper,UAW0591,119 Alton Dr,952-955-8906,141000,Technician,,Boeing-747 Boeing-737 Airbus-A300,
723-67-9999,Lawrence Bean,UAW0592,975 La Brea Ln,167-213-7475,115000,Traffic Controller,2014-11-06,,
962-07-7632,Rose Harmon,UAW0593,138 Puerto Dr,591-363-3996,146000,Traffic Controller,2008-10-23,,
505-52-6084,Henry Rose,UAW0594,784 Lomita Ln,556-251-7491,84000,Pilot,,,Airbus-A330:2017-07-07 Boeing-787:2020-02-02 Boeing-737:2017-09-16 Boeing-777:2020-06-05 Airbus-A300:2018-02-28
959-92-2182,Juan Whitney,UAW0595,693 Via La Selva,987-230-9331,78000,Technician,,Airbus-A300,
784-84-3054,Mary Bautista,UAW0596,822 Parkland Dr,586-011-5172,47000,Traffic Controller,2000-12-28,,
258-45-6520,Deborah Newton,UAW0597,647 Cimarron Dr,705-092-9759,52000,Traffic Controller,2014-02-08,,
842-54-3863,Jack Hooper,UAW0598,649 Por La Mar Cir,180-936-5674,84000,Traffic Controller,2003-11-14,,
105-66-1707,Larry Hebert,UAW0599,394 Mandarin Dr,835-027-2495,148000,Technician,,Boeing-777 Airbus-A330 Boeing-737,
503-38-9469,Douglas Hodges,UAW0600,347 Stokes,063-096-7836,130000,Pilot,,,Airbus-A380:2020-03-05 Boeing-747:2019-07-14 Airbus-A350:2020-10-09
807-92-5667,Bryan Stevenson,UAW0601,485 Ladera St,199-078-8118,58000,Technician,,Airbus-A350 Boeing-777 Airbus-A380,
322-55-3033,Carol Koch,UAW0602,150 Townsend Ln,772-120-2474,58000,Pilot,,,Airbus-A350:2020-12-07 Boeing-767:2019-11-15 Boeing-737:2020-11-09 Boeing-747:2020-10-14 Boeing-777:2017-05-28 Airbus-A320:2019-11-03 Airbus-A380:2019-02-27 Airbus-A330:2018-07-19
482-77-4719,Cynthia Rosario,UAW0603,637 Sycamore Ave,148-520-4004,81000,Traffic Controller,2009-01-03,,
640-18-6670,Judy Simpson,UAW0604,992 Toro Canyon Park Rd - Los Padres National Forest,715-357-2069,107000,Traffic Controller,2007-01-25,,
613-38-1281,Roy Garrett,UAW0605,892 San Luis Dr,597-797-8009,106000,Pilot,,,Airbus-A350:2020-06-06 Boeing-737:2017-01-09 Boeing-777:2020-01-17 Airbus-A330:2019-06-07 Airbus-A380:2019-03-23 Airbus-A320:2019-10-27
645-16-3875,Julie Manning,UAW0606,332 Whitney Ave,873-033-7512,138000,Pilot,,,Boeing-777:2019-12-10 Boeing-747:2018-12-04 Boeing-767:2019-01-11 Airbus-A300:2018-01-24 Airbus-A350:2019-11-06 Airbus-A380:2017-08-14 Boeing-787:2020-11-23
026-85-4927,Marilyn Terrell,UAW0607,821 Via Messina,470-651-4439,61000,Traffic Controller,2002-05-12,,
663-85-2041,Joshua Lawson,UAW0608,770 Segundo,086-056-5745,127000,Pilot,,,Boeing-737:2017-04-25 Airbus-A350:2018-07-28 Airbus-A330:2019-10-24 Airbus-A320:2019-05-20 Boeing-747:2020-11-14 Boeing-777:2020-02-20 Boeing-787:2020-02-24
259-75-5566,Donna Small,UAW0609,869 Sierra St,334-807-5384,140000,Traffic Controller,2011-05-08,,
029-94-2008,Tyler Dorsey,UAW0610,741 Las Rosas Ln,376-827-0176,141000,Technician,,Boeing-767 Airbus-A350 Airbus-A330,
092-45-8447,Jacqueline Coffey,UAW0611,389 Santa Catalina Ave,796-058-8378,110000,Technician,,Airbus-A300 Airbus-A380 Boeing-767,
055-39-0552,Amber Casey,UAW0612,987 Primrose Ln,452-706-6206,117000,Traffic Controller,2004-07-04,,
641-64-4826,Doris Mcdaniel,UAW0613,418 N C St,030-455-6242,60000,Pilot,,,Boeing-737:2018-12-09 Airbus-A380:2017-12-15 Boeing-767:2018-06-18 Boeing-787:2019-02-03 Airbus-A350:2018-03-11 Boeing-777:2020-02-24 Airbus-A320:2017-07-22 Airbus-A330:2020-08-05
891-53-6763,David Adkins,UAW0614,944 Playa Blanca St,994-316-5486,78000,Technician,,Boeing-737,
801-12-6442,Johnny Velazquez,UAW0615,654 Cameron Dr,824-883-1945,150000,Traffic Controller,2004-11-14,,
053-84-6958,Billy Tyler,UAW0616,197 Larryton Ave,840-741-8043,82000,Pilot,,,Airbus-A330:2017-12-21 Boeing-767:2017-04-22 Airbus-A300:2019-02-25 Airbus-A350:2017-07-21 Airbus-A320:2020-06-28 Boeing-787:2019-03-28 Boeing-777:2017-08-09 Airbus-A380:2018-08-02
044-41-9249,Christina Molina,UAW0617,163 Perigee Rd,407-621-3421,66000,Traffic Controller,2010-07-19,,
955-39-6627,Ashley Sweeney,UAW0618,705 N Palisade Dr,044-124-8138,142000,Pilot,,,Airbus-A300:2020-06-26 Airbus-A320:2018-01-08 Boeing-747:2019-01-08 Airbus-A330:2018-02-21 Boeing-787:2019-11-10
712-72-4997,Emma Cunningham,UAW0619,675 Eversden Ln,914-199-1076,74000,Pilot,,,Boeing-777:2017-10-14 Boeing-787:2017-03-25 Boeing-747:2018-05-05 Boeing-737:2020-08-19 Airbus-A320:2020-05-08 Airbus-A350:2020-04-01 Boeing-767:2017-09-10 Airbus-A300:2017-01-06
913-58-5296,Carol Coffey,UAW0620,266 Las Positas Rd,948-443-3693,114000,Pilot,,,Boeing-787:2019-11-06
300-76-1089,Kevin Faulkner,UAW0621,760 Amber Way,704-349-2467,111000,Traffic Controller,2007-04-08,,
285-68-5198,Joan Dillon,UAW0622,675 Robert Troup Rd - Santa Barbara Municipal Airport (sba),345-863-6944,131000,Pilot,,,Boeing-767:2017-05-03 Airbus-A320:2017-03-16 Airbus-A300:2019-07-01 Boeing-777:2018-02-16 Boeing-787:2017-08-04 Airbus-A350:2020-12-07 Boeing-747:2019-03-06 Airbus-A380:2018-11-19
193-43-6507,Mildred Cardenas,UAW0623,465 Parkland Dr,227-257-3612,50000,Pilot,,,Airbus-A330:2018-12-02 Boeing-747:2020-03-07 Boeing-767:2017-01-06 Airbus-A380:2017-06-24 Airbus-A350:2018-01-11 Boeing-737:2018-05-09 Boeing-777:2019-08-24 Boeing-787:2019-08-16
801-36-8342,Alice Little,UAW0624,333 Sora Ct,511-623-5507,69000,Pilot,,,Airbus-A380:2017-07-08 Airbus-A300:2019-12-26
913-89-8525,Heather Arroyo,UAW0625,535 Masatani Ct,313-322-3599,46000,Technician,,Boeing-777 Boeing-737 Airbus-A330,
557-87-0345,Louis Andersen,UAW0626,195 Pasquala Ln,915-075-6614,48000,Technician,,Airbus-A300 Boeing-787,
199-32-7413,Noah Leon,UAW0627,675 Las Fuentes Dr,064-076-4860,127000,Pilot,,,Boeing-767:2017-11-13 Boeing-737:2018-09-16
835-98-3446,Debra Shelton,UAW0628,529 Terrace Rd,843-291-3106,46000,Pilot,,,Boeing-767:2018-06-21
326-04-8538,Emma Travis,UAW0629,174 Invierno Dr,175-300-5872,105000,Pilot,,,Airbus-A330:2018-03-27 Airbus-A350:2017-10-19 Airbus-A320:2019-07-05 Airbus-A300:2019-12-13 Boeing-777:2018-06-19 Boeing-747:2017-01-26 Boeing-787:2017-06-11
673-55-3907,Laura Clark,UAW0630,286 Arrowhead Dr,400-403-3969,84000,Pilot,,,Boeing-787:2019-06-05 Boeing-777:2017-01-03
248-50-8554,Harold Garrett,UAW0631,727 Santa Barbara St,405-303-3486,143000,Pilot,,,Airbus-A320:2018-07-18 Airbus-A330:2019-12-05 Airbus-A350:2018-04-23 Airbus-A300:2020-05-19 Boeing-737:2020-08-23 Boeing-767:2020-12-08 Boeing-777:2019-05-28 Airbus-A380:2018-12-12
025-02-4907,Victoria Vincent,UAW0632,676 Mclaughlin Rd,155-170-1588,58000,Traffic Controller,2010-04-17,,
412-42-7397,Ethan Crosby,UAW0633,131 Dejoy St,477-606-4779,93000,Pilot,,,Boeing-787:2018-10-25 Airbus-A300:2020-03-08 Airbus-A380:2018-09-19 Boeing-737:2019-01-04 Boeing-767:2017-03-03 Boeing-777:2018-11-15
433-45-7954,Ann Preston,UAW0634,428 Begonia Pl,036-261-5375,132000,Technician,,Boeing-787,
166-87-6756,Paul Juarez,UAW0635,546 Appaloosa Trail,042-574-8344,48000,Traffic Controller,2015-09-27,,
963-21-3795,Tammy Olson,UAW0636,106 La Cresta Cir,560-052-4882,83000,Technician,,Airbus-A300 Boeing-737,
374-96-3918,Samantha Little,UAW0637,139 Rancheria St,520-367-0653,63000,Pilot,,,Airbus-A300:2020-05-04 Airbus-A350:2018-06-14 Boeing-777:2018-01-10 Boeing-747:2017-06-01 Airbus-A330:2020-01-28 Airbus-A380:2017-10-23 Boeing-737:2019-12-08 Airbus-A320:2017-04-15 Boeing-787:2020-06-04
372-47-8601,Frances Frazier,UAW0638,201 Camino Laguna Vista,337-369-5474,126000,Technician,,Airbus-A300 Boeing-767 Airbus-A350 Boeing-747,
145-74-2677,Kenneth Nelson,UAW0639,996 Camuesa Rd - Los Padres National Forest,349-200-9709,148000,Pilot,,,Boeing-777:2017-02-21 Airbus-A350:2017-07-18 Boeing-787:2020-05-20 Boeing-767:2019-11-27 Airbus-A300:2019-12-17 Airbus-A380:2020-06-09 Boeing-747:2018-12-07
611-91-7215,Victoria Vaughn,UAW0640,988 San Fernando Dr,062-970-5568,64000,Traffic Controller,2005-04-26,,
600-20-1530,Karen Dickson,UAW0641,754 Ramitas Rd,753-044-0715,49000,Pilot,,,Airbus-A320:2020-04-14 Boeing-787:2018-07-28 Airbus-A380:2020-07-27
182-09-2712,Grace Peters,UAW0642,276 Las Flores Way,591-004-9383,51000,Traffic Controller,2012-07-26,,
054-94-3862,Jack Hood,UAW0643,899 Santa Paula Ave,295-960-2895,123000,Traffic Controller,2003-04-05,,
748-82-7413,Robert Bean,UAW0644,235 Paden St,848-210-2188,136000,Technician,,Boeing-737 Airbus-A300 Airbus-A350 Boeing-767,
333-68-4169,Jordan Dodson,UAW0645,945 Miramonte Ave,826-511-4108,113000,Technician,,Boeing-787 Airbus-A350 Airbus-A300,
603-32-2829,Shirley Gaines,UAW0646,676 San Lorenzo Dr,843-284-5083,99000,Traffic Controller,2009-07-10,,
614-58-8503,Jonathan Thornton,UAW0647,446 Via Elsie,483-960-8691,110000,Technician,,Airbus-A350 Airbus-A300,
480-29-0590,Theresa Murphy,UAW0648,692 Kim Sue Ln,419-524-4658,146000,Pilot,,,Boeing-777:2017-08-02 Boeing-787:2018-04-17 Airbus-A380:2019-01-19 Airbus-A300:2019-09-25 Boeing-767:2017-08-19 Boeing-737:2018-02-25
864-52-2114,Marie Baird,UAW0649,197 Rockwood Dr,639-292-0252,51000,Technician,,Airbus-A380 Boeing-787 Airbus-A350 Boeing-777,
400-29-6037,Michael Sheppard,UAW0650,158 Borges Dr,815-303-3115,65000,Traffic Controller,2003-01-17,,
716-05-7534,Samantha Powers,UAW0651,905 Vista Del Oro,458-621-8410,89000,Pilot,,,Boeing-777:2018-09-14 Boeing-767:2018-01-20 Airbus-A330:2018-08-06 Boeing-737:2020-12-22 Airbus-A300:2020-05-20 Boeing-787:2020-02-14
190-48-4040,Frank Watson,UAW0652,546 Terrace Rd,736-017-9803,124000,Technician,,Airbus-A320 Boeing-767,
320-43-0583,Wayne Shelton,UAW0653,981 Aero Rd,625-649-1635,95000,Traffic Controller,2005-01-21,,
263-69-9021,Vincent Lane,UAW0654,892 Manzanita Rd - Los Padres National Forest,371-882-4268,75000,Technician,,Airbus-A380 Airbus-A320,
973-07-1461,Harold Petty,UAW0655,356 Victoria Pl,856-391-0532,48000,Traffic Controller,2015-08-22,,
992-83-4094,Kathy Bean,UAW0656,195 Nogal Dr,919-002-4287,149000,Technician,,Airbus-A330 Boeing-767,
991-18-1704,Stephanie Richardson,UAW0657,498 Irvine Ln,539-556-9729,125000,Technician,,Boeing-747 Boeing-737,
192-15-0200,Amanda Bray,UAW0658,554 Mc Caw Ave,669-730-8645,92000,Pilot,,,Boeing-777:2017-06-12 Airbus-A380:2017-03-06 Airbus-A330:2018-09-15 Boeing-747:2017-12-20 Boeing-737:2019-07-09 Airbus-A350:2019-04-25 Boeing-767:2020-06-27
806-27-0677,Carol Wilson,UAW0659,902 Elise Pl,221-736-0883,80000,Traffic Controller,2014-06-07,,
856-68-7305,Rachel Horn,UAW0660,734 Mimosa Ln,098-727-7551,138000,Pilot,,,Boeing-777:2017-03-03 Airbus-A300:2018-12-07 Boeing-767:2019-04-10 Boeing-787:2018-10-21
401-95-2366,David Cantu,UAW0661,955 Glenn Rd - Los Padres National Forest,626-037-6551,48000,Technician,,Airbus-A330 Airbus-A320 Boeing-777 Airbus-A300,
144-01-9005,Joyce Cline,UAW0662,481 Linwood Dr,717-641-8797,68000,Pilot,,,Boeing-787:2017-01-24 Boeing-737:2018-06-15 Airbus-A320:2018-01-14 Airbus-A300:2020-12-09 Boeing-747:2018-08-14 Airbus-A350:2020-01-11 Boeing-777:2018-02-16
352-96-6999,Cheryl Duarte,UAW0663,927 Boxwood St,271-065-0046,138000,Technician,,Airbus-A380,
381-76-0980,Billy Bryant,UAW0664,293 Santa Monica Rd,546-713-4664,107000,Technician,,Airbus-A300 Boeing-777,
046-40-4085,Heather Evans,UAW0665,107 Oak Bluffs Dr,382-441-8438,80000,Technician,,Boeing-737,
957-35-2667,Paul Marshall,UAW0666,381 Arriba Way,338-119-9095,124000,Pilot,,,Airbus-A330:2017-10-06 Airbus-A300:2018-08-19 Boeing-787:2018-07-02 Boeing-767:2018-06-20 Boeing-777:2017-08-16 Boeing-747:2019-03-12
886-23-5549,David Mccullough,UAW0667,316 Bolsa Chica Ct,869-092-1585,129000,Pilot,,,Airbus-A350:2018-01-21 Boeing-747:2019-07-11 Boeing-777:2020-11-25 Airbus-A380:2019-12-24 Airbus-A330:2018-05-28 Boeing-787:2020-12-26 Boeing-737:2019-09-26 Airbus-A320:2017-04-16 Boeing-767:2018-08-03
499-98-9881,Mark Kemp,UAW0668,745 Pershing St,315-931-9137,109000,Traffic Controller,2015-09-09,,
545-27-6462,Jason Kane,UAW0669,510 Via Isla,777-000-3193,132000,Pilot,,,Boeing-787:2020-08-12 Airbus-A300:2020-06-14
789-64-0193,Shirley Porter,UAW0670,930 Coyote,433-751-7802,133000,Traffic Controller,2014-08-09,,
638-57-3402,Aaron Price,UAW0671,619 W Loquat Ct,360-607-1578,103000,Technician,,Airbus-A320 Airbus-A380 Boeing-787 Boeing-737 Airbus-A330,
687-40-1747,Patrick Cantrell,UAW0672,762 Dolcetto Ln,478-018-8550,149000,Traffic Controller,2009-08-25,,
710-36-1575,Jason Munoz,UAW0673,938 Las Positas Pl,827-284-4539,62000,Technician,,Boeing-787 Boeing-737,
603-27-9761,Donald Ayers,UAW0674,109 Oak Glen Dr,907-245-5955,81000,Traffic Controller,2014-08-03,,
234-52-9659,Deborah Weber,UAW0675,955 E Valley Ln,400-258-7262,66000,Traffic Controller,2012-09-02,,
278-63-9230,Jordan Wilkins,UAW0676,566 Cathedral Pointe Ln,886-202-7139,80000,Pilot,,,Boeing-747:2020-07-17 Airbus-A320:2019-07-21 Airbus-A380:2017-07-28 Boeing-777:2018-11-19 Airbus-A300:2017-11-15 Boeing-737:2018-04-25
575-56-2662,Ralph Cruz,UAW0677,934 Lake Marie Dr,735-884-4964,51000,Technician,,Boeing-747,
973-66-4068,Kelly Roach,UAW0678,940 Inwood Dr,766-432-2669,143000,Traffic Controller,2015-11-11,,
